C,Data Desc: data for nonmem7 example,,,,,,,,,,,,,
C,SET,ID,JID,TIME,CONC,AMT,RATE,EVID,MDV,CMT,TYPE,TSTRAT,TMIN,TMAX
,2,1,1,0,0,100,0,1,1,1,1,0,0.01,50
,2,1,1,0.5,1,0,0,0,0,1,1,1,0.01,50
,2,1,1,3,1,0,0,0,0,1,1,2,0.01,50
,2,1,1,7,1,0,0,0,0,1,1,3,0.01,50
,2,1,1,15,1,0,0,0,0,1,1,4,0.01,50
,2,1,1,30,1,0,0,0,0,1,1,5,0.01,50
,2,2,1,0,0,100,0,1,1,1,2,0,0.01,50
,2,2,1,0.51,1,0,0,0,0,1,2,1,0.01,50
,2,2,1,3.1,1,0,0,0,0,1,2,2,0.01,50
,2,2,1,7.1,1,0,0,0,0,1,2,3,0.01,50
,2,2,1,15.1,1,0,0,0,0,1,2,4,0.01,50
,2,2,1,30.1,1,0,0,0,0,1,2,5,0.01,50
,2,3,1,0,0,100,0,1,1,1,3,0,0.01,50
,2,3,1,0.53,1,0,0,0,0,1,3,1,0.01,50
,2,3,1,3.2,1,0,0,0,0,1,3,2,0.01,50
,2,3,1,7.2,1,0,0,0,0,1,3,3,0.01,50
,2,3,1,15.2,1,0,0,0,0,1,3,4,0.01,50
,2,3,1,30.2,1,0,0,0,0,1,3,5,0.01,50
