TABLE NO.  1
 TVAL        DV          DV2         IPRED       IPRED2
  1.0000E+00  3.0137E+01  4.1854E+01  3.0041E+01  3.5217E+01
  2.0000E+00  3.9709E+01  4.6707E+01  3.0041E+01  3.5217E+01
  3.0000E+00  3.5079E+01  4.3060E+01  3.0041E+01  3.5217E+01
  4.0000E+00  3.0422E+01  2.8787E+01  3.0041E+01  3.5217E+01
  5.0000E+00  2.3429E+01  3.0648E+01  3.0041E+01  3.5217E+01
  6.0000E+00  3.1234E+01  3.7437E+01  3.0041E+01  3.5217E+01
  7.0000E+00  2.8993E+01  3.9757E+01  3.0041E+01  3.5217E+01
  8.0000E+00  3.7523E+01  4.1103E+01  3.0041E+01  3.5217E+01
  9.0000E+00  2.2117E+01  1.8298E+01  3.0041E+01  3.5217E+01
  1.0000E+01  2.7608E+01  3.7263E+01  3.0041E+01  3.5217E+01
  1.1000E+01  3.1998E+01  3.9907E+01  3.0041E+01  3.5217E+01
  1.2000E+01  3.0086E+01  3.4936E+01  3.0041E+01  3.5217E+01
  1.3000E+01  2.8552E+01  3.2666E+01  3.0041E+01  3.5217E+01
  1.4000E+01  2.7403E+01  2.7223E+01  3.0041E+01  3.5217E+01
  1.5000E+01  4.7818E+00  3.5910E+01  3.0041E+01  3.5217E+01
  1.6000E+01  2.8031E+01  3.2699E+01  3.0041E+01  3.5217E+01
  1.7000E+01  2.7665E+01  2.8092E+01  3.0041E+01  3.5217E+01
  1.8000E+01  3.7852E+01  2.4503E+01  3.0041E+01  3.5217E+01
  1.9000E+01  4.7101E+01  5.6811E+01  3.0041E+01  3.5217E+01
  2.0000E+01  6.0170E+01  8.1635E+01  3.0041E+01  3.5217E+01
  2.1000E+01  2.8438E+01  3.5942E+01  3.0041E+01  3.5217E+01
  1.0000E+01  2.1941E+01  4.8296E+01  3.0041E+01  3.5217E+01
  1.1000E+01  3.8084E+01  4.0113E+01  3.0041E+01  3.5217E+01
  1.2000E+01  2.2922E+01  3.7429E+01  3.0041E+01  3.5217E+01
  1.3000E+01  1.3176E+01  2.4032E+01  3.0041E+01  3.5217E+01
  1.4000E+01  3.1670E+01  2.1838E+01  3.0041E+01  3.5217E+01
  1.5000E+01  2.8204E+01  4.0314E+01  3.0041E+01  3.5217E+01
  1.6000E+01  2.1586E+01  2.0897E+01  3.0041E+01  3.5217E+01
  1.7000E+01  3.3767E+01  3.7092E+01  3.0041E+01  3.5217E+01
  1.8000E+01  2.5298E+01  2.7061E+01  3.0041E+01  3.5217E+01
  1.9000E+01  2.0633E+01  2.8556E+01  3.0041E+01  3.5217E+01
  2.0000E+01  2.6502E+01  2.8355E+01  3.0041E+01  3.5217E+01
  2.1000E+01  4.1401E+01  6.0673E+01  3.0041E+01  3.5217E+01
  1.0000E+01  3.4959E+01  2.3835E+01  3.0041E+01  3.5217E+01
  1.1000E+01  4.0827E+01  4.8835E+01  3.0041E+01  3.5217E+01
  1.2000E+01  1.6254E+01  8.4431E+00  3.0041E+01  3.5217E+01
  1.3000E+01  4.2602E+01  4.5933E+01  3.0041E+01  3.5217E+01
