TABLE NO.  1
 TVAL        DV          IPRED
  1.0000E+00  3.0196E+01  2.9929E+01
  2.0000E+00  1.5537E+01  2.9929E+01
  3.0000E+00  3.8818E+01  2.9929E+01
  4.0000E+00  2.6452E+01  2.9929E+01
  5.0000E+00  4.2061E+01  2.9929E+01
  6.0000E+00  2.8814E+01  2.9929E+01
  7.0000E+00  3.3307E+01  2.9929E+01
  8.0000E+00  3.7974E+01  2.9929E+01
  9.0000E+00  3.4103E+01  2.9929E+01
  1.0000E+01  3.7905E+01  2.9929E+01
  1.1000E+01  3.7298E+01  2.9929E+01
  1.2000E+01  1.1767E+01  2.9929E+01
  1.3000E+01  3.0537E+01  2.9929E+01
  1.4000E+01  3.3031E+01  2.9929E+01
  1.5000E+01  2.2529E+01  2.9929E+01
  1.6000E+01  2.8407E+01  2.9929E+01
  1.7000E+01  1.9582E+01  2.9929E+01
  1.8000E+01  3.8646E+01  2.9929E+01
  1.9000E+01  3.2530E+01  2.9929E+01
  2.0000E+01  3.9036E+01  2.9929E+01
  2.1000E+01  3.1056E+01  2.9929E+01
  1.0000E+01  1.0254E+01  2.9929E+01
  1.1000E+01  3.2193E+01  2.9929E+01
  1.2000E+01  3.2873E+01  2.9929E+01
  1.3000E+01  2.9384E+01  2.9929E+01
  1.4000E+01  2.6172E+01  2.9929E+01
  1.5000E+01  3.3997E+01  2.9929E+01
  1.6000E+01  2.8321E+01  2.9929E+01
  1.7000E+01  3.9425E+01  2.9929E+01
  1.8000E+01  3.1123E+01  2.9929E+01
  1.9000E+01  2.7594E+01  2.9929E+01
  2.0000E+01  3.1374E+01  2.9929E+01
  2.1000E+01  2.4363E+01  2.9929E+01
  1.0000E+01  4.3007E+01  2.9929E+01
  1.1000E+01  1.4662E+01  2.9929E+01
  1.2000E+01  3.1665E+01  2.9929E+01
  1.3000E+01  2.7868E+01  2.9929E+01
  1.4000E+01 -7.8874E+00  2.9929E+01
  1.5000E+01  4.1447E+01  2.9929E+01
  1.6000E+01  2.4891E+01  2.9929E+01
  1.7000E+01  4.1893E+01  2.9929E+01
  1.8000E+01  4.1622E+01  2.9929E+01
  1.9000E+01  3.3276E+01  2.9929E+01
  2.0000E+01  3.4720E+01  2.9929E+01
  2.1000E+01  3.0078E+01  2.9929E+01
  1.0000E+01  2.1445E+01  2.9929E+01
  1.1000E+01  2.9858E+01  2.9929E+01
  1.2000E+01  2.2257E+01  2.9929E+01
  1.3000E+01  2.8752E+01  2.9929E+01
  1.4000E+01  3.4565E+01  2.9929E+01
  1.5000E+01  2.8354E+01  2.9929E+01
  1.6000E+01  2.4949E+01  2.9929E+01
  1.7000E+01  1.9253E+01  2.9929E+01
  1.8000E+01  3.5024E+01  2.9929E+01
  1.9000E+01  2.0712E+01  2.9929E+01
  2.0000E+01  1.9285E+01  2.9929E+01
  2.1000E+01  7.6117E+00  2.9929E+01
  1.0000E+01  2.9448E+00  2.9929E+01
  1.1000E+01  4.4869E+01  2.9929E+01
  1.2000E+01  3.8833E+01  2.9929E+01
  1.3000E+01  2.6949E+01  2.9929E+01
  1.4000E+01  3.0073E+01  2.9929E+01
  1.5000E+01  2.8879E+01  2.9929E+01
  1.6000E+01  3.1434E+01  2.9929E+01
  1.7000E+01  2.7396E+01  2.9929E+01
  1.8000E+01  2.1146E+01  2.9929E+01
  1.9000E+01  2.5531E+01  2.9929E+01
  2.0000E+01  2.4052E+01  2.9929E+01
  2.1000E+01  3.6289E+01  2.9929E+01
  1.0000E+01  2.5797E+01  2.9929E+01
  1.1000E+01 -5.4547E+01  2.9929E+01
  1.2000E+01  2.1196E+01  2.9929E+01
  1.3000E+01  4.6676E+01  2.9929E+01
  1.4000E+01  2.1565E+01  2.9929E+01
  1.5000E+01  3.7321E+01  2.9929E+01
  1.6000E+01  2.7987E+01  2.9929E+01
  1.7000E+01  4.7854E+01  2.9929E+01
  1.8000E+01  9.5070E-01  2.9929E+01
  1.9000E+01  5.6123E+01  2.9929E+01
  2.0000E+01  3.2961E+01  2.9929E+01
  2.1000E+01  2.8786E+01  2.9929E+01
  1.0000E+00  2.6228E+01  2.9929E+01
  2.0000E+00  3.3689E+01  2.9929E+01
  3.0000E+00  2.4203E+01  2.9929E+01
  4.0000E+00  2.0730E+01  2.9929E+01
  5.0000E+00  2.2549E+01  2.9929E+01
  6.0000E+00  7.8015E+01  2.9929E+01
  7.0000E+00  3.8894E+01  2.9929E+01
  8.0000E+00  3.5059E+01  2.9929E+01
  9.0000E+00  5.1600E+01  2.9929E+01
  1.0000E+01  2.6710E+01  2.9929E+01
  1.1000E+01  3.7077E+01  2.9929E+01
  1.2000E+01  1.4802E+01  2.9929E+01
  1.3000E+01  3.4077E+01  2.9929E+01
  1.4000E+01  4.5258E+01  2.9929E+01
  1.5000E+01  1.9712E+01  2.9929E+01
  1.6000E+01  7.7519E+00  2.9929E+01
  1.7000E+01  3.3773E+01  2.9929E+01
  1.8000E+01  4.5103E+01  2.9929E+01
  1.9000E+01  3.0292E+01  2.9929E+01
  2.0000E+01  3.1678E+01  2.9929E+01
  2.1000E+01  1.8685E+01  2.9929E+01
  1.0000E+01  7.1889E-01  2.9929E+01
  1.1000E+01  2.8094E+01  2.9929E+01
  1.2000E+01  2.8607E+01  2.9929E+01
  1.3000E+01  3.8173E+01  2.9929E+01
  1.4000E+01  3.8973E+01  2.9929E+01
  1.5000E+01  2.6085E+01  2.9929E+01
  1.6000E+01  1.3938E+01  2.9929E+01
  1.7000E+01  2.3276E+01  2.9929E+01
  1.8000E+01  2.3935E+01  2.9929E+01
  1.9000E+01  1.4643E+01  2.9929E+01
  2.0000E+01  3.4561E+01  2.9929E+01
  2.1000E+01  3.7618E+01  2.9929E+01
  1.0000E+01  2.5921E+01  2.9929E+01
  1.1000E+01  1.7335E+01  2.9929E+01
  1.2000E+01  2.5060E+01  2.9929E+01
  1.3000E+01  2.6042E+01  2.9929E+01
  1.4000E+01  2.0374E+01  2.9929E+01
  1.5000E+01  1.8922E+01  2.9929E+01
  1.6000E+01  2.1040E+01  2.9929E+01
  1.7000E+01  3.8282E+01  2.9929E+01
  1.8000E+01  3.5645E+01  2.9929E+01
  1.9000E+01  2.5884E+01  2.9929E+01
  2.0000E+01  2.8472E+01  2.9929E+01
  2.1000E+01  4.6339E+01  2.9929E+01
  1.0000E+01  2.6479E+01  2.9929E+01
  1.1000E+01  4.8081E+01  2.9929E+01
  1.2000E+01  4.2653E+01  2.9929E+01
  1.3000E+01  2.0639E+01  2.9929E+01
  1.4000E+01  4.8416E+01  2.9929E+01
  1.5000E+01  3.3013E+01  2.9929E+01
  1.6000E+01  3.2362E+01  2.9929E+01
  1.7000E+01  5.0485E+01  2.9929E+01
  1.8000E+01 -5.0058E+00  2.9929E+01
  1.9000E+01  1.2833E+01  2.9929E+01
  2.0000E+01  4.3510E+01  2.9929E+01
  2.1000E+01  3.4373E+01  2.9929E+01
  1.0000E+01  3.2851E+01  2.9929E+01
  1.1000E+01  1.0504E+01  2.9929E+01
  1.2000E+01 -1.1240E+00  2.9929E+01
  1.3000E+01  2.5973E+01  2.9929E+01
  1.4000E+01  8.7101E+00  2.9929E+01
  1.5000E+01  4.9624E+01  2.9929E+01
  1.6000E+01  4.7122E+01  2.9929E+01
  1.7000E+01  2.5191E+01  2.9929E+01
  1.8000E+01  2.8389E+01  2.9929E+01
  1.9000E+01  3.3227E+01  2.9929E+01
  2.0000E+01  7.7995E+01  2.9929E+01
  2.1000E+01  3.4573E+01  2.9929E+01
  1.0000E+01  2.1859E+01  2.9929E+01
  1.1000E+01  4.8964E+01  2.9929E+01
  1.2000E+01  5.2722E+01  2.9929E+01
  1.3000E+01  1.3022E+01  2.9929E+01
  1.4000E+01  3.6475E+01  2.9929E+01
  1.5000E+01  2.1453E+01  2.9929E+01
  1.6000E+01  3.2616E+01  2.9929E+01
  1.7000E+01  2.1677E+01  2.9929E+01
  1.8000E+01  2.6639E+01  2.9929E+01
  1.9000E+01  4.2227E+01  2.9929E+01
  2.0000E+01  3.7462E+01  2.9929E+01
  2.1000E+01  3.4406E+01  2.9929E+01
  1.0000E+00  3.7301E+01  2.9929E+01
  2.0000E+00  3.2119E+01  2.9929E+01
  3.0000E+00  3.5957E+01  2.9929E+01
  4.0000E+00  6.1154E+01  2.9929E+01
  5.0000E+00  1.8102E+01  2.9929E+01
  6.0000E+00  1.9057E+01  2.9929E+01
  7.0000E+00  3.1445E+01  2.9929E+01
  8.0000E+00 -1.8766E+01  2.9929E+01
  9.0000E+00  2.9701E+01  2.9929E+01
  1.0000E+01  3.4161E+01  2.9929E+01
  1.1000E+01  3.4901E+01  2.9929E+01
  1.2000E+01  2.0579E+01  2.9929E+01
  1.3000E+01  2.6893E+01  2.9929E+01
  1.4000E+01  1.9262E+01  2.9929E+01
  1.5000E+01  5.3602E+01  2.9929E+01
  1.6000E+01  2.6576E+01  2.9929E+01
  1.7000E+01  4.5355E+01  2.9929E+01
  1.8000E+01  3.7880E+00  2.9929E+01
  1.9000E+01  6.0500E+01  2.9929E+01
  2.0000E+01  3.2421E+01  2.9929E+01
  2.1000E+01  2.4063E+01  2.9929E+01
  1.0000E+01  3.1950E+01  2.9929E+01
  1.1000E+01  3.5839E+01  2.9929E+01
  1.2000E+01  2.1050E+01  2.9929E+01
  1.3000E+01  3.1330E+01  2.9929E+01
  1.4000E+01  7.3883E+00  2.9929E+01
  1.5000E+01  4.0939E+01  2.9929E+01
  1.6000E+01  1.9262E+01  2.9929E+01
  1.7000E+01  4.0158E+01  2.9929E+01
  1.8000E+01  1.8880E+01  2.9929E+01
  1.9000E+01  4.7218E+01  2.9929E+01
  2.0000E+01  3.8203E+01  2.9929E+01
  2.1000E+01  3.4841E+01  2.9929E+01
  1.0000E+01  1.9847E+01  2.9929E+01
  1.1000E+01  1.2946E+01  2.9929E+01
  1.2000E+01  2.7584E+01  2.9929E+01
  1.3000E+01  3.0799E+01  2.9929E+01
  1.4000E+01  2.1082E+01  2.9929E+01
  1.5000E+01  3.2696E+01  2.9929E+01
  1.6000E+01  3.8533E+01  2.9929E+01
  1.7000E+01  9.8356E-01  2.9929E+01
  1.8000E+01  2.6885E+01  2.9929E+01
  1.9000E+01  1.2363E+01  2.9929E+01
  2.0000E+01  6.0870E+01  2.9929E+01
  2.1000E+01  3.4907E+01  2.9929E+01
  1.0000E+01  3.1638E+01  2.9929E+01
  1.1000E+01  4.1116E+01  2.9929E+01
  1.2000E+01  1.6547E+01  2.9929E+01
  1.3000E+01  3.1764E+01  2.9929E+01
  1.4000E+01  3.2183E+01  2.9929E+01
  1.5000E+01  3.0699E+01  2.9929E+01
  1.6000E+01  2.0149E+01  2.9929E+01
  1.7000E+01  3.1698E+01  2.9929E+01
  1.8000E+01  3.4402E+01  2.9929E+01
  1.9000E+01  4.1194E+01  2.9929E+01
  2.0000E+01  2.6035E+01  2.9929E+01
  2.1000E+01  3.6774E+01  2.9929E+01
  1.0000E+01  4.2603E+01  2.9929E+01
  1.1000E+01  4.1096E+01  2.9929E+01
  1.2000E+01  2.5163E+01  2.9929E+01
  1.3000E+01  3.0684E+01  2.9929E+01
  1.4000E+01  2.2129E+01  2.9929E+01
  1.5000E+01  4.1258E+01  2.9929E+01
  1.6000E+01  3.2169E+01  2.9929E+01
  1.7000E+01  3.5315E+01  2.9929E+01
  1.8000E+01  2.8429E+01  2.9929E+01
  1.9000E+01  2.0993E+01  2.9929E+01
  2.0000E+01  1.7825E+01  2.9929E+01
  2.1000E+01  2.2559E+01  2.9929E+01
  1.0000E+01  2.9793E+01  2.9929E+01
  1.1000E+01  3.6807E+01  2.9929E+01
  1.2000E+01  3.3844E+01  2.9929E+01
  1.3000E+01  3.2600E+01  2.9929E+01
  1.4000E+01  3.4781E+01  2.9929E+01
  1.5000E+01  2.0892E+01  2.9929E+01
  1.6000E+01  3.3342E+01  2.9929E+01
  1.7000E+01  3.0766E+01  2.9929E+01
  1.8000E+01  2.8950E+01  2.9929E+01
  1.9000E+01  3.0129E+01  2.9929E+01
  2.0000E+01  3.1394E+01  2.9929E+01
  2.1000E+01  3.5639E+01  2.9929E+01
  1.0000E+00  3.8221E+01  2.9929E+01
  2.0000E+00  3.3096E+01  2.9929E+01
